행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11530740,개봉1동,12.0,9.0,1.0,3.0,5.0,0.0,0.0,58.0
11530730,고척2동,12.0,4.0,0.0,2.0,5.0,0.0,0.0,40.0
11530720,고척1동,11.0,17.0,8.0,4.0,5.0,4.0,0.0,31.0
11530595,가리봉동,6.0,2.0,0.0,0.0,0.0,23.0,0.0,8.0
11530560,구로5동,20.0,7.0,1.0,4.0,5.0,3.0,0.0,50.0
11530550,구로4동,15.0,4.0,1.0,3.0,5.0,19.0,0.0,13.0
11530540,구로3동,15.0,4.0,0.0,18.0,7.0,5.0,0.0,49.0
11530530,구로2동,23.0,3.0,7.0,12.0,6.0,16.0,0.0,49.0
11530520,구로1동,5.0,6.0,4.0,1.0,4.0,0.0,0.0,25.0
11530510,신도림동,12.0,6.0,2.0,4.0,5.0,2.0,0.0,46.0
11500641,방화3동,5.0,9.0,0.0,1.0,5.0,0.0,0.0,23.0
11500640,방화2동,7.0,5.0,2.0,0.0,4.0,1.0,4.0,42.0
11500630,방화1동,23.0,11.0,0.0,3.0,2.0,1.0,0.0,47.0
11500620,공항동,12.0,9.0,0.0,7.0,6.0,0.0,21.0,41.0
11500615,우장산동,15.0,10.0,0.0,4.0,4.0,0.0,0.0,34.0
11500611,발산1동,36.0,17.0,1.0,9.0,3.0,0.0,0.0,63.0
11500605,가양3동,4.0,7.0,0.0,0.0,3.0,0.0,0.0,14.0
11500604,가양2동,7.0,6.0,0.0,3.0,4.0,0.0,0.0,15.0
11500603,가양1동,20.0,6.0,0.0,13.0,5.0,3.0,0.0,74.0
11500593,화곡8동,8.0,1.0,0.0,3.0,2.0,0.0,0.0,34.0
11500591,화곡6동,8.0,12.0,0.0,5.0,7.0,0.0,0.0,29.0
11500590,화곡본동,12.0,3.0,0.0,0.0,3.0,0.0,0.0,31.0
11500570,화곡4동,14.0,6.0,0.0,2.0,4.0,0.0,0.0,30.0
11500560,화곡3동,8.0,2.0,0.0,3.0,4.0,0.0,0.0,12.0
11500550,화곡2동,3.0,3.0,0.0,0.0,2.0,0.0,0.0,30.0
11500540,화곡1동,28.0,3.0,0.0,2.0,3.0,1.0,0.0,29.0
