행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
망우본동,25400,49.59,11260655,30,10,9,4,9,2,0,56,중랑구,0.0392110766,0.7772167876,NORMAL
망원1동,27175,47.21,11440690,11,0,0,2,2,1,0,23,마포구,0.04814461946,0.7794911334,DANGER
면목본동,22000,44.35,11260565,18,3,13,2,4,1,0,31,중랑구,0.0392110766,0.7772167876,NORMAL
명동,20000,18.6,11140550,35,5,0,46,20,15,0,30,중구,0.0365631844,0.7377326565,NORMAL
명일1동,44875,66.87,11740530,19,1,0,6,5,0,0,23,강동구,0.04145064898,0.7492537313,NORMAL
목5동,47000,61.56,11470550,13,11,0,9,8,0,0,52,양천구,0.03711998416,0.7043333333,NORMAL
무악동,76800,84.858,11110570,5,2,0,1,2,0,0,8,종로구,0.03421225207,1.174683544,NORMAL
묵1동,28900,59.76,11260620,13,7,0,2,4,0,0,34,중랑구,0.0392110766,0.7772167876,NORMAL
문래동,47000,70.705,11560605,17,5,0,9,8,2,0,57,영등포구,0.051559658,0.8032157427,DANGER
미아동,28300,59.67,11305535,15,5,0,3,3,0,0,29,강북구,0.02832254792,0.9003931848,SAFE
반포3동,90000,84.54,11650580,11,2,0,7,3,0,0,18,서초구,0.04687016667,0.772967265,NORMAL
반포4동,83500,71.49,11650581,13,4,0,12,7,1,0,36,서초구,0.04687016667,0.772967265,NORMAL
발산1동,47000,80.1,11500611,36,17,1,9,3,0,0,63,강서구,0.04959229884,0.8510479042,DANGER
방배본동,43893,57.5,11650590,16,1,1,6,2,0,0,25,서초구,0.04687016667,0.772967265,NORMAL
방학3동,21250,59.7305,11320710,6,7,0,3,3,0,0,47,도봉구,0.02154196414,0.792073521,SAFE
방화1동,31500,52.65,11500630,23,11,0,3,2,1,0,47,강서구,0.04959229884,0.8510479042,DANGER
방화2동,8500,28.995,11500640,7,5,2,0,4,1,4,42,강서구,0.04959229884,0.8510479042,DANGER
번2동,16500,41.3,11305603,7,2,0,0,5,1,0,54,강북구,0.02832254792,0.9003931848,SAFE
보광동,23100,59.7,11170700,8,9,0,1,4,0,0,14,용산구,0.0411041958,0.7450331126,NORMAL
보문동,55000,59.791,11290610,6,2,0,4,4,1,0,12,성북구,0.02702334847,0.8008241758,SAFE
부암동,28750,62.685,11110550,1,19,0,2,4,0,0,38,종로구,0.03421225207,1.174683544,NORMAL
북가좌1동,27800,59.97,11410710,5,5,0,2,1,0,0,13,서대문구,0.02541481582,0.723466407,SAFE
북아현동,48300,59.96,11410555,8,3,0,2,2,0,0,17,서대문구,0.02541481582,0.723466407,SAFE
불광2동,22000,54.19,11380530,5,7,3,1,6,0,0,32,은평구,0.03980499635,0.765620143,NORMAL
사근동,11000,24.93,11200550,11,57,1,3,5,0,0,36,성동구,0.02619433549,0.7132735002,SAFE
사당2동,80000,84.95,11590630,14,4,0,2,3,2,0,40,동작구,0.03036414704,0.717196414,SAFE
사당3동,40000,59.89,11590640,5,6,1,1,3,0,0,31,동작구,0.03036414704,0.717196414,SAFE
사직동,52500,70.8,11110530,15,3,0,24,18,3,0,36,종로구,0.03421225207,1.174683544,NORMAL
삼선동,45000,62.39,11290555,14,18,0,5,7,0,0,48,성북구,0.02702334847,0.8008241758,SAFE
삼성2동,73500,70,11680590,11,3,0,11,10,0,0,32,강남구,0.07556391443,0.7483215982,DANGER
삼전동,22950,41.233,11710610,14,6,0,2,4,1,0,13,송파구,0.06401959935,0.7325086973,DANGER
삼청동,22000,46.27,11110540,2,4,0,4,10,0,0,16,종로구,0.03421225207,1.174683544,NORMAL
상계67동,24150,49.94,11110770,31,10,0,11,9,1,0,40,노원구,0.0383696903,0.7768461787,NORMAL
