행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
망우본동,4083.5,32.0,36.0,11260655,30,10,9,4,9,2,0,56,중랑구,0.0392110766,0.7772167876,NORMAL,37.6005319691714,127.101414648372
망원1동,3000.0,60.0,34.78,11440690,11,0,0,2,2,1,0,23,마포구,0.04814461946,0.7794911334,DANGER,37.5555962174351,126.905604188078
면목본동,2000.0,45.0,32.93,11260565,18,3,13,2,4,1,0,31,중랑구,0.0392110766,0.7772167876,NORMAL,37.5872805191923,127.087488538133
명동,1000.0,70.0,20.28,11140550,35,5,0,46,20,15,0,30,중구,0.0365631844,0.7377326565,NORMAL,37.5583576447484,126.985241620075
명일1동,8749.0,70.0,42.93,11740530,19,1,0,6,5,0,0,23,강동구,0.04145064898,0.7492537313,NORMAL,37.5512605741443,127.144346767847
목5동,10000.0,60.0,44.01,11470550,13,11,0,9,8,0,0,52,양천구,0.03711998416,0.7043333333,NORMAL,37.53717991831,126.881717459292
무악동,15000.0,165.0,84.858,11110570,5,2,0,1,2,0,0,8,종로구,0.03421225207,1.174683544,NORMAL,37.5759854736853,126.958245677349
묵1동,3000.0,47.0,33.0,11260620,13,7,0,2,4,0,0,34,중랑구,0.0392110766,0.7772167876,NORMAL,37.6124136763103,127.078484387322
문래동,25000.0,65.0,59.9,11560605,17,5,0,9,8,2,0,57,영등포구,0.051559658,0.8032157427,DANGER,37.5171112504905,126.899485634762
미아동,1000.0,50.0,37.2,11305535,15,5,0,3,3,0,0,29,강북구,0.02832254792,0.9003931848,SAFE,37.6270831294021,127.027060776679
반포3동,25250.0,132.0,79.42,11650580,11,2,0,7,3,0,0,18,서초구,0.04687016667,0.772967265,NORMAL,37.5120469957584,127.00561014665
반포4동,10000.0,105.0,59.26,11650581,13,4,0,12,7,1,0,36,서초구,0.04687016667,0.772967265,NORMAL,37.4974688612417,127.000307593388
발산1동,4743.0,47.0,41.625,11500611,36,17,1,9,3,0,0,63,강서구,0.04959229884,0.8510479042,DANGER,37.5530979481591,126.833264722295
방배본동,8000.0,70.0,42.26,11650590,16,1,1,6,2,0,0,25,서초구,0.04687016667,0.772967265,NORMAL,37.4942175065077,126.988886408987
방학3동,1000.0,54.0,40.0,11320710,6,7,0,3,3,0,0,47,도봉구,0.02154196414,0.792073521,SAFE,37.6591579398209,127.028033457923
방화1동,2000.0,60.0,23.84,11500630,23,11,0,3,2,1,0,47,강서구,0.04959229884,0.8510479042,DANGER,37.5703442238475,126.817052873863
방화2동,500.0,35.0,22.515,11500640,7,5,2,0,4,1,4,42,강서구,0.04959229884,0.8510479042,DANGER,37.5667130007593,126.80673880486
번2동,1000.0,50.0,30.0,11305603,7,2,0,0,5,1,0,54,강북구,0.02832254792,0.9003931848,SAFE,37.6276612500456,127.035090468244
보광동,1500.0,65.0,49.44,11170700,8,9,0,1,4,0,0,14,용산구,0.0411041958,0.7450331126,NORMAL,37.5262721673188,127.000171956489
보문동,3000.0,54.5,31.0575,11290610,6,2,0,4,4,1,0,12,성북구,0.02702334847,0.8008241758,SAFE,37.5803802951263,127.022823355231
부암동,3000.0,50.0,33.8,11110550,1,19,0,2,4,0,0,38,종로구,0.03421225207,1.174683544,NORMAL,37.5924142953536,126.964061015983
북가좌1동,2000.0,50.0,39.6,11410710,5,5,0,2,1,0,0,13,서대문구,0.02541481582,0.723466407,SAFE,37.5742792384461,126.910185660454
북아현동,3000.0,72.0,48.0,11410555,8,3,0,2,2,0,0,17,서대문구,0.02541481582,0.723466407,SAFE,37.559565244981,126.956901214305
불광2동,5000.0,41.0,35.115,11380530,5,7,3,1,6,0,0,32,은평구,0.03980499635,0.765620143,NORMAL,37.6265016239314,126.92730531944
사근동,1000.0,55.0,18.36,11200550,11,57,1,3,5,0,0,36,성동구,0.02619433549,0.7132735002,SAFE,37.5614997515694,127.045327331714
사당2동,44450.0,122.5,84.95,11590630,14,4,0,2,3,2,0,40,동작구,0.03036414704,0.717196414,SAFE,37.4887524986309,126.979253427857
