행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
필동,19725.0,27.91,11140570,8,22,0,9,6,3,0,17,중구,0.0365631844,0.7377326565,NORMAL,37.5601640832367,126.995599542438
하계1동,35000.0,59.46,11350611,10,24,0,3,4,0,0,41,노원구,0.0383696903,0.7768461787,NORMAL,37.6405462557667,127.072581464765
한강로동,43275.0,48.57,11170625,21,3,5,19,19,5,0,48,용산구,0.0411041958,0.7450331126,NORMAL,37.5281422426636,126.969228070947
한남동,65000.0,59.98,11170685,14,4,3,11,30,0,0,38,용산구,0.0411041958,0.7450331126,NORMAL,37.5346298557798,127.000552132438
합정동,25000.0,37.4,11440680,10,3,0,3,4,0,0,32,마포구,0.04814461946,0.7794911334,DANGER,37.5516618139957,126.911756414276
항동,46650.0,84.661,11530800,2,12,0,0,1,0,0,37,구로구,0.04179710217,0.7291296625,NORMAL,37.4801853131194,126.823409784343
행당2동,62500.0,59.97,11200570,4,4,0,2,2,0,0,25,성동구,0.02619433549,0.7132735002,SAFE,37.5582648219048,127.0293401659
혜화동,15500.0,38.345,11110650,16,35,0,5,6,1,0,36,종로구,0.03421225207,1.174683544,NORMAL,37.5868624440017,127.00060686405
홍은1동,38850.0,63.68,11410660,7,2,0,0,3,1,0,32,서대문구,0.02541481582,0.723466407,SAFE,37.5989166778931,126.947108251212
홍제3동,43000.0,60.0,11410640,16,7,4,3,3,6,0,47,서대문구,0.02541481582,0.723466407,SAFE,37.5937821789847,126.949743382569
화곡1동,18900.0,37.76,11500540,28,3,0,2,3,1,0,29,강서구,0.04959229884,0.8510479042,DANGER,37.5303934432113,126.841601310694
화양동,16400.0,21.47,11215710,18,39,0,5,3,1,0,18,광진구,0.03551145152,0.7731707317,NORMAL,37.5464762611363,127.071367614735
황학동,31500.0,35.94,11140670,10,0,0,6,1,7,0,6,중구,0.0365631844,0.7377326565,NORMAL,37.5674999372117,127.021415848975
회기동,21000.0,43.74,11230710,11,20,0,5,3,0,0,10,동대문구,0.03979262302,0.7717661692,NORMAL,37.5907885967281,127.05537245757
회현동,30000.0,28.82,11140540,16,3,2,17,9,3,0,41,중구,0.0365631844,0.7377326565,NORMAL,37.5572755681352,126.979370256256
효창동,31750.0,48.845,11170580,5,3,0,1,1,0,0,24,용산구,0.0411041958,0.7450331126,NORMAL,37.5424588083349,126.9618988792
후암동,25000.0,38.01,11170510,7,4,2,1,6,0,0,18,용산구,0.0411041958,0.7450331126,NORMAL,37.5486798277286,126.978150463736
휘경2동,25000.0,47.95,11230730,6,13,0,1,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL,37.5901076994926,127.068614843098
흑석동,74500.0,84.753,11590605,25,26,0,6,6,1,0,51,동작구,0.03036414704,0.717196414,SAFE,37.5057750153538,126.966590753167
