행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
신대방1동,1000,50,24.14,11590670,10,6,0,1,3,0,0,16,동작구,0.03036414704,0.717196414,SAFE
신도림동,5500,79.5,53.48,11530510,12,6,2,4,5,2,0,46,구로구,0.04179710217,0.7291296625,NORMAL
신수동,2000,60,30,11440630,6,4,0,1,4,0,0,24,마포구,0.04814461946,0.7794911334,DANGER
신월3동,2000,50,41.22,11470580,7,7,0,1,2,0,0,8,양천구,0.03711998416,0.7043333333,NORMAL
신정1동,5000,50,45.34,11470620,9,5,0,3,7,0,0,26,양천구,0.03711998416,0.7043333333,NORMAL
신촌동,1000,65,18.98,11410585,23,115,1,10,6,7,0,62,서대문구,0.02541481582,0.723466407,SAFE
쌍문3동,1500,46,37.88,11320680,13,1,0,3,3,1,0,18,도봉구,0.02154196414,0.792073521,SAFE
안암동,1000,60,22,11290600,12,74,0,6,4,0,0,36,성북구,0.02702334847,0.8008241758,SAFE
암사1동,5000,50,37.325,11740570,8,3,1,1,2,0,0,13,강동구,0.04145064898,0.7492537313,NORMAL
압구정동,3015,70,45,11680545,35,6,3,25,4,3,0,20,강남구,0.07556391443,0.7483215982,DANGER
양재1동,5000,60,36,11650651,21,9,0,11,12,0,0,88,서초구,0.04687016667,0.772967265,NORMAL
양평1동,5000,60,28.63,11560610,7,2,0,3,5,1,0,23,영등포구,0.051559658,0.8032157427,DANGER
양평2동,18000,30,29.26,11560620,7,6,0,6,8,3,0,36,영등포구,0.051559658,0.8032157427,DANGER
여의동,5000,110,41.22,11560540,45,6,0,70,23,1,0,66,영등포구,0.051559658,0.8032157427,DANGER
역삼1동,3000,87,29.81,11680640,68,2,0,49,15,4,0,45,강남구,0.07556391443,0.7483215982,DANGER
역촌동,2000,50,38.07,11380625,20,3,0,5,5,0,0,51,은평구,0.03980499635,0.765620143,NORMAL
연남동,1500,63,29.64,11440710,2,4,0,1,2,0,0,23,마포구,0.04814461946,0.7794911334,DANGER
연희동,1000,60,22,11410615,17,18,0,7,7,2,0,70,서대문구,0.02541481582,0.723466407,SAFE
염리동,5000,80,34.61,11440610,3,7,0,1,3,2,0,10,마포구,0.04814461946,0.7794911334,DANGER
